"no","province","country","Timeline","infected"
"1","อู่ฮั่น","จีน","b131-Dec-19","27"
"2","หูเป่ย","จีน","b120-Feb-20","2055"
"3","ชานตง","จีน","b121-Feb-20","200"
"4","อู่ฮั่น","จีน","b121-Feb-20","200"
"5","โอซาก้า","ญี่ปุ่น","b17-Mar-20","39"
"6","แทกู","เกาหลีใต้","b118-Feb-20","2800"
"7","สิงคโปร์","สิงคโปร์ ","b123-Jan-20","7"
"8","สิงคโปร์","สิงคโปร์ ","b15-Feb-20","5"
"9","สิงคโปร์","สิงคโปร์ ","b113-Feb-20","23"
"10","สิงคโปร์","สิงคโปร์ ","b129-Feb-20","14"
"11","กวนตง","ฮ่องกง","b19-Feb-20","11"
"12","นอร์ธพอยต์","ฮ่องกง","b125-Feb-20","18"
"13","โยโกฮามา","ญี่ปุ่น","b125-Feb-20","600"
"14","โตเกียว","ญี่ปุ่น","b113-Feb-20","11"
"15","ฮอกไกโด","ญี่ปุ่น","b113-Feb-20","6"
"16","เตหะราน","อิหร่าน","b129-Feb-20","23"
"17","กอม","อิหร่าน","b124-Feb-20","88"
"18","ลอมบาร์ดี, เวเนโต","อิตาลี","b122-Feb-20","2000"
"19","โรม","อิตาลี","b12-Mar-20","10"
"20","ลักซอร์","อียิปต์","b17-Mar-20","45"
"21","นิวเซาธ์เวลส์","ออสเตรเลีย","b12-Mar-20","61"
"22","โอดฟร็องซ์","ฝรั่งเศส","b12-Mar-20","91"
"23","นอร์ธ ไรน์ เวสต์ฟาเลีย","เยอรมนี","b125-Feb-20","400"
